jenis_transaksi,tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan,nama_zat_aktif,nama_obat_jadi,produsen_obat_jadi,nama_pbf,provinsi,kabupaten_kota,no_faktur,tanggal_penyaluran,batch,jumlah,satuan,tanggal_kedaluwarsa,keterangan,status_validasi
Dalam Negeri,RSUD SIMPANG LIMA GUMUL KEDIRI,JALAN GALUH CANDRA KIRANA DESA TUGUREJO KEC. NGASEM KAB. KEDIRI,,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG KEDIRI,Jawa Timur,Kab. Kediri,132424016098,2024-06-14,2309013,3,Dus 1 Vial @ 10 ml,2025-09-30 00:00:00,,VALID
Dalam Negeri,RSUD SIMPANG LIMA GUMUL KEDIRI,JALAN GALUH CANDRA KIRANA DESA TUGUREJO KEC. NGASEM KAB. KEDIRI,,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG KEDIRI,Jawa Timur,Kab. Kediri,132424016098,2024-06-14,2309118,17,Dus 1 Vial @ 10 ml,2025-11-30 00:00:00,,VALID
Dalam Negeri,APOTEK K24 GAYUNGAN SURABAYA,"JALAN GAYUNG KEBONSARI TIMUR NO. 43 RT. 005 RW. 005 KETINTANG, GAYUNGAN KOTA SURABAYA JAWA TIMUR",,,"KETAMINE HYDROCHLORIDE, Propilena glikol (propana-1,2- diol)",IVANES,IKAPHARMINDO PUTRAMAS TBK,KARYA DWI ELANG,Jawa Timur,Kota Surabaya,DO-41001/2402/40303,2024-02-26,66014006,1,"DUS,1 VIAL 10 ML",2026-02-01 00:00:00,"Delivery Order To Apotek K-24 Gayungan, Surabaya (CV. DESTO MEDIKA)",VALID
Dalam Negeri,RS BALIMED BULELENG,"JALAN GUNUNG LEMPUYANG NO 9 X, KELURAHAN BANJAR TEGAL ,KECAMATAN BULELENG, KABUPATEN BULELENG, PROVINSI BALI, 81117",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/241000913,2024-10-25,PID50653,1,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,ASRI MEDICAL KLINIK,"jalan hasannudin, Desa/kelurahan gentengwetan. kec. genteng",,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG JEMBER,Jawa Timur,Kab. Jember,132324017873,2024-10-15,2401023,2,Dus 1 Vial @ 10 ml,2026-02-28 00:00:00,,VALID
Dalam Negeri,RSIA PURI BUNDA,JALAN KABUPATEN NOMOR 99 BUGIH PAMEKASAN,,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,DEXA MEDICA,ANUGRAH ARGON MEDICA CABANG SURABAYA,Jawa Timur,Kota Surabaya,49240176336,2024-09-18,4140085,2,"DUS, 5 VIAL @ 10 ML",2026-01-31 00:00:00,,VALID
Dalam Negeri,JAKARTA BARAT,Jalan Kedoya Raya No. 33 Kedoya Utara. Kebon Jeruk,,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,ETHICA INDUSTRI FARMASI (SITE JABABEKA),PENTA VALENT CABANG SIDOARJO,Jawa Timur,Kota Surabaya,130116240000371,2024-07-18,E23C0044A,1,"DUS, 5 AMPUL @ 10 ML",2026-02-28 00:00:00,,VALID
Dalam Negeri,RSB IBNU SINA BOJONEGORO,JALAN LISMAN NO. 07 TELP(0353)883238 BOJONEGORO,,,KETAMINE HYDROCHLORIDE,KETANAEST,BERNOFARM,UNITED DICO CITAS CABANG SURABAYA,Jawa Timur,Kota Surabaya,875850,2024-01-30,PIH05352,3,"DUS, 1 VIAL @ 10 ML",2025-07-01 00:00:00,,VALID
Dalam Negeri,RS BALIMED DENPASAR,"JALAN MAHENDRADATTA NO 57X PADANG SAMBIAN-DENPASAR BARAT KELURAHAN PADANGSAMBIAN KECAMATAN DENPASAR BARAT KOTA DENPASAR PROVINSI BALI, 80119",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/240600535,2024-06-20,PID50553,10,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,PROVINSI PAPUA TENGAH DNK,"JALAN MERDEKA NOMOR 53A KELURAHAN KARANG MULIA KECAMATAN NABIRE KABUPATEN NABIRE PROVINSI PAPUA TENGAH, 98815",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/240900954,2024-09-30,PID50553,14,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,PROVINSI PAPUA TENGAH DNK,"JALAN MERDEKA NOMOR 53A KELURAHAN KARANG MULIA KECAMATAN NABIRE KABUPATEN NABIRE PROVINSI PAPUA TENGAH, 98815",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/240900954,2024-09-30,PIH45053,36,"DUS, 10 VIAL @ 10 ML",2026-07-31 00:00:00,,VALID
Dalam Negeri,KLINIK UTAMA PANASEA,JALAN MH. THAMRIN NO 02,,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG JEMBER,Jawa Timur,Kab. Jember,132324014263,2024-08-20,2401023,5,Dus 1 Vial @ 10 ml,2026-02-28 00:00:00,,VALID
Dalam Negeri,KLINIK UTAMA PANASEA,JALAN MH. THAMRIN NO 02,,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG JEMBER,Jawa Timur,Kab. Jember,132324020421,2024-11-22,2309118,6,Dus 1 Vial @ 10 ml,2025-11-30 00:00:00,,VALID
Dalam Negeri,KLINIK UTAMA PANASEA,JALAN MH. THAMRIN NO 02,,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG JEMBER,Jawa Timur,Kab. Jember,132324002608,2024-02-17,2307087,6,Dus 1 Vial @ 10 ml,2025-07-30 00:00:00,,VALID
