tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan
ADANG FARMA APOTEK,TULUNGAGUNG,Tulungagung,Jawa Timur
ADHIGUNA FARMA I APOTEK,JL.MALUKU(PERTOKOAN DIPONEGORO BLK A-15) DENPASAR-BARAT,Kota Denpasar,Bali
ADI AMERTA APOTEK,JL RAYA GONDANG-LENGKONG NO 1,Nganjuk,Jawa Timur
ADI HUSADA SURABAYA RS SURABAYA,JL. KAPASARI NO. 97-101,Kota Surabaya,Jawa Timur
ADI HUSADA UNDAAN RS SBY,JL. UNDAAN WETAN NO. 40-44,Kota Surabaya,Jawa Timur
ADI PODAY APOTEK,"JLN.ADI PODAY NO.92, KOLORSUMENEP",Sumenep,Jawa Timur
ADINE FARMA APOTEK,JL. BHAYANGKARI NO 522 PORONG SIDOARJO,Sidoarjo,Jawa Timur
ADIT APOTEK,"JL.RAYA SEGOBANCANG 4,RT1RW1TARIK-SIDOARJO",Sidoarjo,Jawa Timur
ADITARA 2 APOTEK,JL. SIDOTOPO WETAN BARU NO. 54,Kota Surabaya,Jawa Timur
ADITARA 2 APOTEK,JL.SIDOTOPO WETAN BARU NO.54 SURABAYA,Kota Surabaya,Jawa Timur
ADITYA KIMIA FARMA PT,"JL. DRS. ESAU SESA, RT.003/RW.016, KEL. WOSI, KEC. MANOKWARI BARAT, KAB. MANOKWARI, PROVINSI PAPUA BARAT, 98312",Manokwari,Papua Barat
ADITYA KIMIA FARMA PT,JL. DRS. ESAU SESA RT. 003 / RW. 016,Manokwari,Papua Barat
AFAS 2 PAMEKASAN APOTEK PAMEKASAN,JL. PINTU GERBANG 53 PAMEKASAN TL. 087755811819,Pamekasan,Jawa Timur
AFAS APOTEK SBY,JL. JOKOTOLE 240 A,Kota Surabaya,Jawa Timur
AFAS PAMEKASAN APOTEK PAMEKASAN,JL. JOKOTOLE 240A - PAMEKASAN,Pamekasan,Jawa Timur
AFIAH APOTEK,JL RAYA TULANGGAN NO 27,Sidoarjo,Jawa Timur
AFIAH KL,TRENGGALEK,Trenggalek,Jawa Timur
AFIAH KL,JL RAYA KARANGSOKO-KARANGAN NO 14 RT 021 RW 004 DESA KARANGSOKO,Trenggalek,Jawa Timur
AFIAH KLINIK,JL.RAYA KARANGSOKO - KARANGAN NO.14 RT. 021 RW. 004 KARANGSOKO - TRENGGALEK,Trenggalek,Jawa Timur
AFIAH KLINIK KDR,JL. RAYA JARAKAN KARANGSUKO,Trenggalek,Jawa Timur
AFIQ FARMA,"JL. PEMUDA KAFTA NO 69, JUNOK BANGKALAN",Bangkalan,Jawa Timur
AFIQ FARMA APOTEK,JL. PEMUDA KAFFA NO. 69,Bangkalan,Jawa Timur
AFIQ FARMA APOTEK,JL.PEMUDA KAFFA NO.69 BANGKALAN,Bangkalan,Jawa Timur
AFIQ FARMA APOTEK,"Jl. Pemuda Kaffa 69 Junok , Kec.Burneh",Bangkalan,Jawa Timur
AFIQ FARMA APOTEK,JL.PEMUDA KAFFA NO69 JUNOKBANGKALAN,Bangkalan,Jawa Timur
AFIQ FARMA BANGKALAN APOTEK BANGKALAN,JL. PEMUDA KAFFA NO.69,Bangkalan,Jawa Timur
AFIZA FARMA APOTEK,JL.MT.HARYONO NO.71-A BONDOWOSO,Bondowoso,Jawa Timur
AGHISNA MEDIKA KROYA RSU,JL. YOS SUDARSO NO.1 KELURAHAN KARANGMANGU KECAMATAN KROYA,Cilacap,Jawa Tengah
AGROBIS SEMANDO APOTEK,JL. RAYA PLAOSAN,Lamongan,Jawa Timur
AGUM JAYA APOTEK,"JL. CITRA PAHLAWAN NO.1, KETING",Jember,Jawa Timur
AGUM JAYA APOTEK,JL CITRA PAHLAWAN 01 KETING JOMBANGJEMBER,Jember,Jawa Timur
AGUNG FARMA APOTEK,JL. PANDEGILING 177 I,Kota Surabaya,Jawa Timur
AGUNG FARMA APOTEK,JL.PANDEGILING NO.177-I SURABAYA,Kota Surabaya,Jawa Timur
AGUNG FARMA APOTEK,JL.PANDEGILING NO.177-I,Kota Surabaya,Jawa Timur
AGUNG FARMA APOTEK SUMBER REJEKI CV,"JL.PANDEGILING NO. 177 I, SURABAYA PUSAT",Kota Surabaya,Jawa Timur
AGUNG PHARMINDO INDONESIA,JALAN TANJUNG RAYA II NO 101 PONTIANAK,Kota Pontianak,Kalimantan Barat
AGUS SALIM APOTEK MDN,JL. KH. AGUS SALIM NO. 129 PANDEAN - TAMAN,Madiun,Jawa Timur
AGUS SISWANTO JAYA SEHAT APOTEK,JL. VETERAN NO. 20 - KEPANJEN KIDUL,Kota Blitar,Jawa Timur
AHA PRANTI APOTEK,JL. RAYA PRANTI RT.03 RW.04 MENGANTI GRESIK,Gresik,Jawa Timur
AHNAF FARMASI APOTEK,DSN BLUMBUNGANPAMEKASAN,Pamekasan,Jawa Timur
AHSAN FARMA MEDIKA PT.,BANJARMASIN,Kota Banjarmasin,Kalimantan Selatan
AIDA APOTEK,JL. GATOT SUBROTO NO. 3,Jember,Jawa Timur
AIMEE APOTEK,JL S PARMAN 158 KENITEN,Ponorogo,Jawa Timur
AIR MULYA APOTEK,JL. RAYA SUMENEP NO 12 B PAMEKASAN,Pamekasan,Jawa Timur
AIRLANGGA APOTEK,JL KYAI TAMIN NO 42,Kota Malang,Jawa Timur
AIRLANGGA RS,JL. AIRLANGGA NO. 50 C JOMBANG,Jombang,Jawa Timur
AISY FARMA APOTEK,JL KARTINI NO 18A MARGOMULYO,Ngawi,Jawa Timur
