tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan
PIEROSCA TERANG SUKSES ABADI PT,Jl. Darmo Permai Selatan I No.5,Kota Surabaya,Jawa Timur
PIEROSCA TERANG SUKSES ABADI PT,JL.DARMO PERMAI SELATAN I/5 SURABAYA,Kota Surabaya,Jawa Timur
PIEROSCA TERANG SUKSES ABADI PT,"Jl. DARMO PERMAI SELATAN I / 5 KEL. PRADAH KALIKENDAL KEC. DUKUH PAKIS, SURABAYA 60226, JAWA TIMUR",Kota Surabaya,Jawa Timur
PIEROSCA TERANG SUKSES ABADI PT,JL. DARMO PERMAI SELATAN I / 5,Kota Surabaya,Jawa Timur
PIEROSCA TERANG SUKSES ABADI PT SURABAYA,JL. DARMO PERMAI SEL. I/5 SURABAYA,Kota Surabaya,Jawa Timur
PINDAD MEDIKA UTAMA RS,JL. SEMERU NO. 01 RT 04 RW 20 KELURAHAN TUREN KECAMATAN TUREN,Malang,Jawa Timur
PINDAD MEDIKA UTAMA RS,JL. SEMERU NO. 01 RT 04 RW 20 KECAMATAN TUREN KELURAHAN TUREN,Malang,Jawa Timur
PINDAD RSU MLG MLG,JL.SEMERU NO.1 RT.04 RW.20 TUREN,Malang,Jawa Timur
PIRUS APOTEK,JL. MANYAR JAYA NO. 6 SUKOLILO,Kota Surabaya,Jawa Timur
PIRUS APOTEK,JL.MANYAR JAYA NO.6,Kota Surabaya,Jawa Timur
PK RSI SAKINAH,"Jl. R.A Basuni No.12, Jampirogo, Kec. Sooko, Kabupaten Mojokerto",Mojokerto,Jawa Timur
PK RSI SAKINAH,"JL. RA. BASUNI, SOOKO - MOJOKERTO",Mojokerto,Jawa Timur
PK RSI SAKINAH,"JL. RA BASUNI, SOOKO - MOJOKERTO",Mojokerto,Jawa Timur
PK RSI SAKINAH,"Jl. R.A. Basuni No.12, Sooko, Mojokerto",Mojokerto,Jawa Timur
PKM KEDUNGGALAR,JL. RAYA KEDUNGGALAR NO 39 KEC. KEDUNGGALAR NGAWI,Ngawi,Jawa Timur
PKPRI FARMA APOTEK,JL. RAJAWALI NO. 9 KEL. KARANG DALAM,Sampang,Jawa Timur
PKU MUHAMADIYAH BABAT,JL. KH. DAHLAN NO.14,Lamongan,Jawa Timur
PKU MUHAMADIYAH SEKAPUK RS,JL. RAYA DAENDLES 21 SEKAPUK,Gresik,Jawa Timur
PKU MUHAMMADIYAH BABAT RS SBY,"JL.KH.A.DAHLAN 14,BABAT",Lamongan,Jawa Timur
PKU MUHAMMADIYAH BLORA RS,JALAN RAYA BLORA-CEPU KM.3 DESA SESO KECAMATAN JEPON KABUPATEN BLORA PROVINSI JAWA TENGAH 58261,Blora,Jawa Tengah
PKU MUHAMMADIYAH CEPU RS,JL. PEMUDA NO. 137,Blora,Jawa Tengah
PKU MUHAMMADIYAH DELANGGU RS,JL. RAYA DELANGGU UTARA NO. 19,Klaten,Jawa Tengah
PKU MUHAMMADIYAH DUKUN KLINIK,JALAN TIMUR ALUN-ALUN NO 219 KELURAHAN DUKUN KECAMATAN DUKUNANYAR,Gresik,Jawa Timur
PKU MUHAMMADIYAH GOMBONG RS,JL.YOS SUDARSO 461 KEL WONOKRIYO KEC GOMBONG KAB KEBUMEN,Kebumen,Jawa Tengah
PKU MUHAMMADIYAH KANIGORO,JL BRAWIJAYA NO 85 DESA KANIGORO RT 4 RW 3,Kediri,Jawa Timur
PKU MUHAMMADIYAH MAYONG RS,"Jl. PEGADAIAN NO. 12 DESA MAYONG LOR KEC. MAYONG, JEPARA (KAB) 59465, JAWA TENGAH",Kota Surabaya,Jawa Timur
PKU MUHAMMADIYAH MAYONG RS,JL. PEGADAIAN NO. 12,Kota Surabaya,Jawa Timur
PKU MUHAMMADIYAH MAYONG RSU,JL. PEGADAIAN NO. 12 KECAMATAN MAYONG KELURHAAN MAYONG LOR,Jepara,Jawa Tengah
PKU MUHAMMADIYAH PRAMBANAN RS,JL. RAYA BATAS KOTA KLATEN PRAMBANAN KM. 46,Klaten,Jawa Tengah
PKU MUHAMMADIYAH ROGOJAMPI RSU BANYUWANGI,JL DIPONEGORO NO.20 ROGOJAMPI,Banyuwangi,Jawa Timur
PKU MUHAMMADIYAH RS JBR,JL. DIPONEGORO NO. 20,Banyuwangi,Jawa Timur
PKU MUHAMMADIYAH SEKAPUK,JL.RAYA DAENDLES NO.21 SEKAPUK GRESIK,Gresik,Jawa Timur
PKU MUHAMMADIYAH SRUWENG RS,JL. RAYA SRUWENG NO.5,Kebumen,Jawa Tengah
PKU MUHAMMADIYAH WONOGIRI RS,JL DURIAN NO 28 SANGGRAHAN KECAMATAN WONOGIRI KELURAHAN GIRIPURWO,Wonogiri,Jawa Tengah
PKU MUHAMMADIYAH WONOSOBO,JL. GATOT SUBROTO KM 1 NO. 1 KELURAHAN SUDUNGDEWO KECAMATAN KERTEK,Wonosobo,Jawa Tengah
PLANDI JAYA APOTEK,JL H. ISMAIL RT 01 RW 1 PARIMONO PLANDI,Jombang,Jawa Timur
PLANDI JAYA APOTEK,KAB JOMBANG,Jombang,Jawa Timur
PLAZA APOTEK TLG,JL. SUPRIYADI NO.39 RT 002 RW 008 JEPUN - TULUNGAGUNG,Tulungagung,Jawa Timur
PLOSO APOTEK,JL RAYA PLOSO NO 120A,Jombang,Jawa Timur
PLOSO JOMBANG RSUD JOMBANG,JL. DARMO SUGONDO NO.83 REJOAGUNG,Jombang,Jawa Timur
PLOSO RSUD,JL DARMO SUGONDO NO 83,Jombang,Jawa Timur
PLOSO RSUD JOMBANG,JL.DARMO SUGONDO NO.83 REJOAGUNG KEC PLOSO,Jombang,Jawa Timur
PODO MEKAR JAYA SENTOSA PT,JL.KALISARI III NO.14 KEL.KAPASARI KEC. GENTENG,Kota Surabaya,Jawa Timur
PODO MEKAR JAYA SENTOSA PT,JL.KALISARI III NO.14 KELURAHAN KAPASARI KECAMATAN GENTENG,Kota Surabaya,Jawa Timur
PODO MEKAR JAYA SENTOSA PT,JL. KALISARI III NO. 14,Kota Surabaya,Jawa Timur
PODO MEKAR JAYA SENTOSA PT,JL. KALI SARI 3 BLOK. 0 NO 14 SURABAYA-SURABAYA TENGAH,Kota Surabaya,Jawa Timur
PODO MEKAR JAYA SENTOSA PT,Jl. Kalisari III Blok O No.14,Kota Surabaya,Jawa Timur
PODO MEKAR JAYA SENTOSA PT,JL. KALISARI III NO 14 SURABAYA JAWA TIMUR,Kota Surabaya,Jawa Timur
PODO MEKAR JAYA SENTOSA PT,"Jl. KALISARI III NO. 14 KEL. KAPASARI KEC. GENTENG, SURABAYA (KOTA) 60273, JAWA TIMUR",Kota Surabaya,Jawa Timur
PODO MEKAR JAYA SENTOSA SURABAYA SURABAYA,JL. KALISARI III NO 14 KEL. KAPASARI,Kota Surabaya,Jawa Timur
PODO SEHAT APOTEK,JL A YANI NO 65,Nganjuk,Jawa Timur
PODO SEHAT APOTEK,JL.JEND. A YANI 65 TELP.(0358)551117 KERTOSONO,Nganjuk,Jawa Timur
PODOJODO APOTEK,JL. RUNGKUT MUTIARA NO. 3A (LAMA: KOMPLEK PERUMAHAN PT. PILAMUTIARA PRATAMA BLOK A KAV. 3) RUNGKUT TENGAH - GUNUNG ANYAR,Kota Surabaya,Jawa Timur
PODOJODO APOTEK,RUNGKUT MUTIARA BLOK A-3 SURABAYA,Kota Surabaya,Jawa Timur
POGOT SURABAYA APOTEK SURABAYA,"JL POGOT NO. 86 TANAH KALI KEDINDIN KENJERAN, SURABAYA TL 031-37302387",Kota Surabaya,Jawa Timur
POLARIS APOTEK MADIUN,"LOMBOK NO. 8, JL",Kota Madiun,Jawa Timur
POLI FARMA 77 APOTEK,JL. UNDAAN KULON NO. 77,Kota Surabaya,Jawa Timur
POLI WALUYO JATI,Surabaya,Kota Surabaya,Jawa Timur
POLOTONDO APOTEK,DS. POLONDO RT/RW KEC. NGUNUT KAB. TULUNGAGUNG,Tulungagung,Jawa Timur
POLY FARMA 61 APOTEK,JL. WR. SUPRATMAN NO. 61,Kota Surabaya,Jawa Timur
POLY FARMA 61 APOTEK,JL.W.R.SUPRATMAN NO.61,Kota Surabaya,Jawa Timur
PONDOK JATI INSTALASI FARMASI RSIA,JL PONDOK JATI BLK AK NO 11-13,Sidoarjo,Jawa Timur
PONDOK SEHAT APOTEK,"JALAN RANDUBLATUNG - CEPU NO.2 KELURAHAN TAMBAKROMO, KECAMATAN CEPU, KABUPATEN BLORA, 58315",Blora,Jawa Tengah
PONOROGO RSUD PONOROGO,"RAYA PONOROGO PACITAN, JL",Ponorogo,Jawa Timur
POP DR SOEGIRI RSUD SBY,JL. KUSUMA BANGSA NO.7,Lamongan,Jawa Timur
POP SOEGIRI DR RSUD,JL. KUSUMA BANGSA NO 07 TUMENGGUNGAN -LAMONGAN,Lamongan,Jawa Timur
POTEK BALEHARJO FARMA,JALAN GATOT SUBROTO LINGK. PURW OHARJO BALEHARJO KELURAHAN BALEHARJO,Pacitan,Jawa Timur
POTEK FARMALA,DUSUN. BATU LENGER DS. BIRA TENGAH KECAMATAN SOKOBANAH,Sampang,Jawa Timur
POTEK K24 CLURING,JALAN RAYA BANYUWANGI - JEMBER NO 15 CLURING CLURING BANYUWAN 35100706,Banyuwangi,Jawa Timur
PPI DENPASAR,"Jl. Hayam Wuruk No. 117, Denpasar",Kota Denpasar,Bali
PRAAM APOTEK,JL.MANDALA NO 621 RT 22 RW 6 SEMAMBUNGSIDOARJO,Sidoarjo,Jawa Timur
PRAAM SIDOARJO APOTEK SIDOARJO,"JL. MANDALA NO. 621 RT. 22 RW. 6 SEMAMBUNG, GEDANGAN SIDOARJO",Sidoarjo,Jawa Timur
PRABU APOTEK,JL WILIS NO 119,Nganjuk,Jawa Timur
PRABU APOTEK,JL. WILIS NO 119 NGANJUK,Nganjuk,Jawa Timur
PRABU APOTEK NGANJUK,JL. WILIS NO 119 NGANJUK,Nganjuk,Jawa Timur
PRADHANA 3 APOTEK MLG,JL. LAKSDA ADI SUCIPTO NO. 78 A RT.01/RW.05,Kota Malang,Jawa Timur
PRADITHA APOTEK,DS.NGEMPIT RT.02 RW.01 KEC. KRATON PASURUAN,Pasuruan,Jawa Timur
PRADITHA APOTEK,DS. NGEMPIT 02/01 KRATON PASURUAN,Pasuruan,Jawa Timur
PRADITHA APOTEK TIRTOSARI,DS.NGEMPIT RT.02 RW.01 KRATON,Pasuruan,Jawa Timur
PRADITHA APOTEK TIRTOSARI,PASURUAN,Pasuruan,Jawa Timur
PRADITHA APOTEK TIRTOSARI TIRTOSARI,DS.NGEMPIT RT.02 RW.01 KRATON,Pasuruan,Jawa Timur
PRADITHA APOTEK TIRTOSARI TIRTOSARI,JL.PANGLIMA BESAR SUDIRMAN NO.15825,Pasuruan,Jawa Timur
PRAGAAN PUSKESMAS SUMENEP,JL RAYA PRAGAAN NO 88A PRAGAAN SUMENEP,Sumenep,Jawa Timur
PRAJA APOTEK,JL. SUNAN DRAJAT NO.34,Lamongan,Jawa Timur
PRAJA APOTEK,"jl. sunan drajat 34 LAmongan, Kec.Lamongan",Lamongan,Jawa Timur
PRAMA FARMA APOTEK,RAYA PANGELEN DS PANGELEN KEC SAMPANG,Sampang,Jawa Timur
PRAMA FARMA SAMPANG APOTEK SAMPANG,JL. RAYA PANGELEN SAMPANG TL. 081252275377,Sampang,Jawa Timur
PRAMIKA KL KL3502 - 0004,JALAN MAYJEND SUTOYO NO 10 KERT OSARI BABADAN PONO ROGO,Ponorogo,Jawa Timur
PRAMITA APOTEK,JL GAJAH MADA NO 36 RT 07 RW 03,Mojokerto,Jawa Timur
PRAPATAN FARMA APOTEK,JL. DIPONEGORO NO. 30 DESA PADANGAN,Bojonegoro,Jawa Timur
PRAPATAN FARMA DUA APOTEK,JL. DR. SUTOMO NO. 63 DESA PADANGAN,Bojonegoro,Jawa Timur
PRASETYA HUSADA RS,JL.RAYA NGIJO KARANG PLOSO MALANG,Malang,Jawa Timur
PRASETYA PRATAMA FARMA PT,"JL. DARMO KALI NO. 46, DARMO, WONOKROMO, SURABAYA",Kota Surabaya,Jawa Timur
PRASIDHA APOTEK KDR,JL. RONGGOWARSITO NO. 09 NGAWI,Ngawi,Jawa Timur
PRATAMA APOTEK,"Dsn.Dukuhan RT 02. RW 04, Kel Gadingwatu, Menganti, Gresik, Kec.Menganti",Gresik,Jawa Timur
PRATAMA GARUDA AVICENA KLINIK,JL. GARUDA TIMUR NO. 251 KRIAN,Sidoarjo,Jawa Timur
PRATAMA H5 KLINIK,JL. KH NAKHRAWI NO.2 RT.06/04 KELURAHAN MANGKUKUSUMAN KEC. TEGAL TIMUR,Kota Tegal,Jawa Tengah
PRATAMA H5 KLINIK,JL. KH NAKHRAWI NO.2 RT.06/04 KELURAHAN MANGKUKUSUMAN KECAMATAN TEGAL TIMUR,Kota Tegal,Jawa Tengah
PRATAMA H5 KLINIK KLI,"Jl. KH NAKHRAWI NO.2 RT.06/04 KEL. MANGKUKUSUMAN KEC. TEGAL TIMUR, TEGAL (KOTA) 52123, JAWA TENGAH",Kota Tegal,Jawa Tengah
PRATAMA KIMIA FARMA MULYOSARI KLN,SURABAYA,Kota Surabaya,Jawa Timur
PRATAMA MARIZHA AESTHETIC KLINIK - KDR,JLSOEKARNO HATTA NO 358 DS/KELURAHANKENITEN KECAMATAN PONO ROGO JAWA TIMUR,Ponorogo,Jawa Timur
PRATAMA TANDYA KLINIK - MALANG,JALAN SEMERU NO 43 MALANG,Malang,Jawa Timur
PRATAMA TANDYA KLINIK MLG,JL. SEMERU NO.43 MALANG,Malang,Jawa Timur
PRATAMA TANDYA KLINIK RAWAT JALAN,JL. SEMERU NO. 43 KELURAHAN KAUMAN KECAMATAN KLOJEN,Kota Malang,Jawa Timur
PRATAMA TANDYA KLINIK RAWAT JALAN KLI,"Jl. SEMERU NO. 43 KEL. KAUMAN KEC. KLOJEN, MALANG 65119, JAWA TIMUR",Kota Surabaya,Jawa Timur
PRAYOGI APOTEK,JL. KALIANYAR NO. 62,Kota Surabaya,Jawa Timur
PRAYOGI APOTEK,JL. KALI ANYAR 62 GENTENG - GENTENG,Kota Surabaya,Jawa Timur
PRAYOGI APOTEK,"Jl. DIPONEGORO, KEL. JOBOKUTO KEC. JEPARA, JEPARA (KAB), PROVINSI JAWA TENGAH, 59417",Kota Surabaya,Jawa Tengah
PRAYOGI APOTEK PT HUSADHA PRAJOGI,JL.KALIANYAR 62 TELP.3719921-3713472 SURABAYA,Kota Surabaya,Jawa Timur
PRAYOGI MEDIKA APOTEK,"JL. JEPARA - KUDUS KM. 12 RT. 04 RW. 01, DESA RENGGING, KEC. PECANGAAN, KAB. JEPARA, PROVINSI JAWA TENGAH, 59462",Jepara,Jawa Tengah
PRAYOGI PT PRAYOGI BERKAH SEJAHTERA APOTEK,"Jl. DIPONEGORO, KEL. JOBOKUTO KEC. JEPARA, JEPARA (KAB), PROVINSI JAWA TENGAH, 59417",Kota Surabaya,Jawa Tengah
PREMBUN RSUD,JL. SLAMET RIYADI NO. 53 PREMBUN,Kebumen,Jawa Tengah
PREMIER RS SURABAYA,JL. NGINDEN INTAN BARAT BLOK B SUKOLILO,Kota Surabaya,Jawa Timur
PREMIER SURABAYA RS,JALAN NGINDEN INTAN BARAT BLOK B. SURABAYA,Kota Surabaya,Jawa Timur
PREMIER SURABAYA RS,SURABAYA,Kota Surabaya,Jawa Timur
PREMIER SURABAYA RS,"Jl. Nginden Intan Barat Blok B ,Surabaya Kota",Kota Surabaya,Jawa Timur
PREMIER SURABAYA RS - SURABAYA,JALAN NGINDEN INTAN BARAT BLOK B,Kota Surabaya,Jawa Timur
PRIGEN APOTEK,JL.RAYA PRIGEN RT.01 RW.03 - KEL.PRIGEN,Pasuruan,Jawa Timur
PRIMA ANUGERAH APOTEK,JL. TANDES NO. 113,Kota Surabaya,Jawa Timur
PRIMA ANUGERAH APOTEK,JL.TANDES NO.113 SURABAYA,Kota Surabaya,Jawa Timur
PRIMA ANUGERAH SURABAYA APOTEK,"RAYA TANDES,TANDES LOR 7A SURABAYA-SURABAYA",Kota Surabaya,Jawa Timur
PRIMA APOTEK SUMENEP,JL. DR. WAHIDIN 47 KOTA,Sumenep,Jawa Timur
PRIMA ARTHA APOTEK JEMBER,JL. RAYA SUYITMAN NO.23 AMBULU,Jember,Jawa Timur
PRIMA ARTHA APOTEK JEMBER,JL.RAYA SUYITMAN NO.23 KEL AMBULU KEC AMBULU,Jember,Jawa Timur
PRIMA FARMA APOTEK,JL. DR. SOEBANDI 62,Jember,Jawa Timur
PRIMA FARMA APOTEK JEMBER,JL.DR.SOEBANDI NO.62 KEL PATRANG KEC PATRANG,Jember,Jawa Timur
PRIMA FARMA S APOTEK,JL. JEND. A. YANI NO. 24 REMU UTARA,Kota Sorong,Papua Barat Daya
PRIMA HUSADA,JL. LETJEN SUPRAPTO 3 KEPUH KIRIMAN WARU,Sidoarjo,Jawa Timur
PRIMA HUSADA RS MALANG,JL. BAJARARUM SELATAN NO 3-7 RT 03 RW 12 DESA BANJARARUM KEC. SINGOSARI,Malang,Jawa Timur
PRIMA HUSADA RS PASURUAN,JL. RAYA SURABAYA-MALANG KM 54 DESA LEMAHBANG KECAMATAN SUKOREJO,Pasuruan,Jawa Timur
PRIMA HUSADA RS PASURUAN,JL. RAYA SURABAYA-MALANG KM 54 KELURAHAN LEMAHBANG KECAMATAN SUKOREJO,Pasuruan,Jawa Timur
PRIMA HUSADA RS SINGOSARI,BANJARARUM SELATAN NO. 3-7 RT 3 RW 12 KECAMATAN SINGOSARI KELURAHAN BANJARARUM,Malang,Jawa Timur
PRIMA HUSADA RSAB,JL. LETJEND SUPRAPTO NO.3 KEPUHKIRIMAN - WARU,Sidoarjo,Jawa Timur
PRIMA JOS APOTEK,JL SUNAN DRAJAT NO. 155A LAMONGAN,Lamongan,Jawa Timur
PRIMA MEDIKA INST FARMASI RSU,JL.SOEKARNO HATTA TULUNGAGUNG,Tulungagung,Jawa Timur
PRIMA MEDIKA RS KDR,JL. SOEKARNO HATTA RT 001 RW 010 KUTOANYAR,Tulungagung,Jawa Timur
PRIMA MEDIKA RSU,JL. SLAMET RIYADI NO.321 KELURAHAN MULYOHARJO KECAMATAN PEMALANG,Pemalang,Jawa Tengah
PRIMA MOJOSARI APOTEK,JL MASJID NO 41 MOJOSARI,Mojokerto,Jawa Timur
PRIMA MOJOSARI APOTEK,JL.MASJID NO.41 MOJOSARI,Mojokerto,Jawa Timur
PRIMA SIAGA APOTEK,JL. GAJAH MADA NO.11 RT.03/09 SIDOARJO TUBAN TUBAN-JATIM,Tuban,Jawa Timur
PRIMA SUMENEP APOTEK,JL DR.WAHIDIN 47 SUMENEP-SUMENEP,Sumenep,Jawa Timur
PRIMA SUMENEP APOTEK,JL DR.WAHIDIN NO 47 KEL PANJAGALANSUMENEP,Sumenep,Jawa Timur
PRIMA SUMENEP APOTEK SBY,JL. DR. WAHIDIN NO. 47,Sumenep,Jawa Timur
PRIMA SUMENEP APOTEK SUMENEP,JL. DR. WAHIDIN 47,Sumenep,Jawa Timur
PRIMASATYA HUSADA CITRA PHC RS PT PELINDO HUSADA CITRA,"JL.PRAPAT KURUNG SELATAN NO.1, RT.002, RW.003, PERAK UTARA",Kota Surabaya,Jawa Timur
PRIMASATYA HUSADA CITRA RS,SURABAYA,Kota Surabaya,Jawa Timur
PRINGU FARMA APOTEK,JL. RAYA PRINGU RT.07 / RW. 05 NO. 137A KEC. BULULAWANG MALANG,Malang,Jawa Timur
PRISCILIA MEDICAL CENTER RS,JL RAYA MAOS KECAMATAN SAMPANG KELURAHAN KARANGTENGAH,Sampang,Jawa Timur
PRISKA APOTEK,JL. RAYA MULYOSARI NO. 151 A,Kota Surabaya,Jawa Timur
PRISMA PRADANA APOTEK,JL. S.PARMAN NO 76 DSN DWUHAN DS PULO KEC. TEMPEH,Lumajang,Jawa Timur
PRISMA PRADANA APOTEK LUMAJANG,"JL. S. PARMAN NO.76 DUSUN DAWUHAN, PULO LUMAJANG",Lumajang,Jawa Timur
PROBOLINGGO APOTEK,JL MAYJEND.PANJAITAN NO.8 DS.SUKABUMI KEC.MAYANGAN,Probolinggo,Jawa Timur
PROBOLINGGO APOTEK,JL. PANJAITAN NO. 8 PROBOLINGGO,Probolinggo,Jawa Timur
PROBOLINGGO APOTEK INI JAYA CV INI,JL.M.PANJAITAN NO.8 MAYANGAN,Probolinggo,Jawa Timur
PROF DR SOEKANDAR RSUD,"Jl. Hayam Wuruk No.25,Mojokerto Kab.",Mojokerto,Jawa Timur
PROF DR SOEKANDAR RSUD MJKT,JL. HAYAM WURUK N0. 25 MOJOSARI,Mojokerto,Jawa Timur
PROMEDIKA APOTEK MLG,JL. PANG SUDIRMAN NO. 15 RUKO RT.03 / RW.02 KETAWANG,Malang,Jawa Timur
PROSSI CLINIC,JALAN BURING NO 25 ORO-ORO DOWO KLOJEN MALANG 65119,Kota Malang,Jawa Timur
PROSSI CLINIC,MALANG,Kota Malang,Jawa Timur
PROVINSI PAPUA TENGAH DNK,"JALAN MERDEKA NOMOR 53A KELURAHAN KARANG MULIA KECAMATAN NABIRE KABUPATEN NABIRE PROVINSI PAPUA TENGAH, 98815",Nabire,Papua Tengah
PROVINSI PAPUA TENGAH DNK,JL. MERDEKA NO. 53 A,Nabire,Papua Tengah
PROVITA APOTEK,JL BARATA JAYA III NO 28,Kota Surabaya,Jawa Timur
PROVITA APOTEK SBY,JL. BARATA JAYA III NO. 28,Kota Surabaya,Jawa Timur
PT (SDA) BINA MITRA JAYA BERSAMA,"JL RAYA WARU, RUKO GATEWAY BLOK A 33-37 SAWOTRATAP, GEDANGAN, SIDOARJO",Sidoarjo,Jawa Timur
PT AAM PONTIANAK,"Jalan Arteri Supadio Ahmad Yani II No. 104-106 Kel. Arang Limbung, Kec. Sungai Raya",Kota Pontianak,Kalimantan Barat
PT AAM SURABAYA,Jl. Rungkut industri III No. 35,Kota Surabaya,Jawa Timur
PT ABY MEDIKA SEJAHTERA,JL. MERDEKA NO. 8 DAUH PEKEN TABANAN BALI,Badung,Bali
PT ABY MEDIKA SEJAHTERA DAUH PEKEN TABANAN,KABUPATEN TABANAN,Tabanan,Bali
PT ACACIA JAYA ABADI,JL KALI RAYA RUNGKUT NO 3 BLOK N-SURABAYA,Kota Surabaya,Jawa Timur
PT ACACIA JAYA ABADI,Jl. Raya Kali Rungkut No. 3 Blok N,Kota Surabaya,Jawa Timur
PT ACACIA MITRA ABADI,JL.RAYA PANJANG JIWO PERMAI IB-21 SURABAYA,Kota Surabaya,Jawa Timur
PT ACACIA MITRA ABADI,JL RAYA PANJ.JIWO PERMAI IB/21-SURABAYA,Kota Surabaya,Jawa Timur
PT ACACIA MITRA ABADI SBY,Jl. Raya Panjang Jiwo Permai I B -,Kota Surabaya,Jawa Timur
PT ADAM KARUNIA ABADI,"LADHA RT 021/RW 00- KEL MBAY I,KEC AESESA KAB NAGEKEO NTT",Nagekeo,Nusa Tenggara Timur
PT ADAM KARUNIA ABADI,LADHA RT 021 KEL MBAY 1 KEC AESESANAGEKEO,Nagekeo,Nusa Tenggara Timur
PT ADAM KARUNIA ABADI,LADHA - RT.021- KEL. MBAY I - KEC. AESESA,Nagekeo,Nusa Tenggara Timur
PT ADAM KARUNIA ABADI,"LADHA, KEL. MBAY I",Nagekeo,Nusa Tenggara Timur
PT ADI BUANA CITRA DHARMALA,Jl. Bandulan Barat No. 316 Kel. Bandulan Kec. Sukun Malang,Kota Malang,Jawa Timur
PT ADI BUANA CITRA DHARMALA,Jl. Bandulan Barat No. 316 Kel. Ban,Kota Malang,Jawa Timur
PT ADIL JUWITA,JL.GALAXI BUMI PERMAI BLOK A-2/7-SURABAYA,Kota Surabaya,Jawa Timur
PT ADIL JUWITA RS ONKOLOGI,JL. ARIF RACHMAN HAKIM NO. 184,Kota Surabaya,Jawa Timur
PT ADIL JUWITA RS ONKOLOGI SBY SURABAYA,JL. ARIF RACHMAN HAKIM NO.184,Kota Surabaya,Jawa Timur
PT ADITYA KIMIA FARMA,"Jl. Drs. Esau Sesa, RT.003/ RW. 016, Kel. Wosi, Kec. Manokwari Barat Kab. Manokwari",Manokwari,Papua Barat
PT ADITYA KIMIA FARMA,"JL. DRS. ESAU SESA, RT.003/RW.016, KEL. WOSI, KEC. MANOKWARI BARAT, KAB. MANOKWARI, PROVINSI PAPUA BARAT, 98312",Manokwari,Papua Barat
PT ADITYA KIMIA FARMA,JL. DRS. ESAU SESA RT. 003 / RW. 016,Manokwari,Papua Barat
PT ADYA ARTHA ABADI,"Komplek Pergudangan Multiguna, Jl. Raya Serpong Blok D1 No. 5-6",Kota Tangerang Selatan,Banten
PT ADYA ARTHA ABADI HEAD OFFICE,"Jalan Gatot Subroto No. 17 Kel. Tebel, Kec. Gedangan",Kota Surabaya,Jawa Timur
PT AFFINITY HEALTH INDONESIA,JL.JATINEGARA TIMUR 85A BALI MESTER-JAKARTA TIMUR,Kota Administrasi Jakarta Timur,Dki Jakarta
PT AGUNG MULYA PERKASA PAPUA,JL. PENDIDIKAN KEL MANDALA DISTRIK MERAUKE,Merauke,Papua Selatan
PT AGUNG PHARMA MEDICA,"JL. TRANS NGGORANG, TERANG, KEC. KOMODO, KAB. MANGGARAI BARAT, NTT",Manggarai Barat,Nusa Tenggara Timur
PT AGUNG PHARMINDO INDONESIA,JL. TANJUNG RAYA II NO.101 PONTIANAK,Kota Pontianak,Kalimantan Barat
PT ALFA KARYA MANDIRI,JL.FRANSKAISEPOWARARIKABYAPEN,Kepulauan Yapen,Papua
PT ALHAMA PUTRA MEDIKA,KOMP. SENAPATI LAND NO. C 26 KEL. BENDE KEC. KADIA,Kota Kendari,Sulawesi Tenggara
PT ALKAUTSAR DISTRIBUSI FARMA,"Jl. Dewi Sartika 76, RT. 003, RW. 002,Ds. Warujayeng, Kec. Tanjunganom",Nganjuk,Jawa Timur
PT ALPEN AGUNG RAYA RS MITRA KELUARGA WARU,JL.JEND S. PARMAN NO 8 RT 00 RW 00 WARU WARU SIDOARJO 61256,Sidoarjo,Jawa Timur
PT ALPEN AGUNGRAYA,JL. SATELIT INDAH 2 DARMO SATELIT,Kota Surabaya,Jawa Timur
PT ALVINDO JUHAN LESTARI,Ruko Rungkut Megah Raya L11-12 Surabaya,Kota Surabaya,Jawa Timur
PT AMARIS NUSANTARA GEMILANG,JL BOULEVARD FAMILI SELATAN KAV I,Kota Surabaya,Jawa Timur
PT ANOM SURYA PHARMINDO,"JL. A. YANI NO. 201 RT. 002 RW.001 , LINGKUNGAN PELEM KEL. WARUJAYENG, KEC. TANJUNGANOM, KAB. NGANJUK",Nganjuk,Jawa Timur
PT ANOM SURYA PHARMINDO,"JL. A. YANI NO.201 RT.002 RW.001 LINGK. PELEM, NGANJUK",Nganjuk,Jawa Timur
PT ANOM SURYA PHARMINDO,"JL. A. YANI NO. 201 RT. 002 RW. 001 LINGK. PELEM, WARUJAYENG, TANJUNGANOM, NGANJUK 64482",Nganjuk,Jawa Timur
PT ANOM SURYA PHARMINDO,JL A YANI NO 201,Nganjuk,Jawa Timur
PT ANTAR MITRA PAPUA,JL. AMPHIBI KOMP. TNI-AL,Kota Jayapura,Papua
PT ANTAR MITRA PERSADA,Jl. JENDRAL SUDIRMAN NO 29,Sukoharjo,Jawa Tengah
PT ANUGERAH ABADI FARMA,DR SUTOMO NO 16 F DS/KEL KINGKING KEC TUBAN,Tuban,Jawa Timur
PT ANUGERAH ABI FARMA,JL. MENUR PUMPUNGAN 76 SURABAYA,Kota Surabaya,Jawa Timur
PT ANUGERAH ABI FARMA,MENUR PUMPUNGAN NO.76 RT.001 RW.006 KEL.MENUR PUMPUNGAN KEC.SUKOLILO SURABAYA - JAWA TIMUR,Kota Surabaya,Jawa Timur
