jenis_transaksi,tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan,nama_zat_aktif,nama_obat_jadi,produsen_obat_jadi,nama_pbf,provinsi,kabupaten_kota,no_faktur,tanggal_penyaluran,batch,jumlah,satuan,tanggal_kedaluwarsa,keterangan,jenis_sarana,kategori_obat,anomaly_label,anomaly_reason
Dalam Negeri,PT PETRO GRAHA MEDIKA,JL. A.YANI NO.69,PT NULAB,0F0670,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG SURABAYA,Jawa Timur,Kota Surabaya,"1,30526E+11",2026-02-23,N2512025,1.0,"DUS, 3 STRIP @ 10 TABLET",2027-12-01,,Lainnya,misoprostol,1,Normal
Dalam Negeri,PT PETRO GRAHA MEDIKA,JL. A.YANI NO.69,PT NULAB,0F0670,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG SURABAYA,Jawa Timur,Kota Surabaya,"1,30526E+11",2026-04-01,N2601065.1,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-01,,Lainnya,misoprostol,1,Normal
Dalam Negeri,PT PETRO GRAHA MEDIKA,JL. A.YANI NO.69,PT NULAB,0F0670,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG SURABAYA,Jawa Timur,Kota Surabaya,"1,30526E+11",2026-01-21,N2511051,5.0,"DUS, 3 STRIP @ 10 TABLET",2027-12-01,,Lainnya,misoprostol,1,Normal
Dalam Negeri,KLINIK UTAMA RAWAT INAP UMMA,JL. ABDUL RAHMAN SALEH NO. 32A SURODAKAN KEC. TRENGGALEK KAB. TRENGGALEK,TRENGGALEK,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,PROSTER,GUARDIAN PHARMATAMA,PENTA VALENT CABANG KEDIRI,Jawa Timur,Kab. Kediri,400119260012220),2026-04-06,N2511028,2.0,"DUS, 3 STRIP @ 10 TABLET",0000-00-00,,Klinik,misoprostol,1,Normal
Dalam Negeri,KLINIK UTAMA RAWAT INAP UMMA,JL. ABDUL RAHMAN SALEH NO. 32A SURODAKAN KEC. TRENGGALEK KAB. TRENGGALEK,TRENGGALEK,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,PROSTER,GUARDIAN PHARMATAMA,PENTA VALENT CABANG KEDIRI,Jawa Timur,Kab. Kediri,400119260000114),2026-01-02,N2508032,2.0,"DUS, 3 STRIP @ 10 TABLET",0000-00-00,,Klinik,misoprostol,1,Normal
Dalam Negeri,RS BHAYANGKARA MOESTADJAB NGANJUK,JL. ABDUL RAHMAN SALEH NO. 56 NGANJUK,NGANJUK,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,NULAB PHARMACEUTICAL INDONESIA,PENTA VALENT CABANG KEDIRI,Jawa Timur,Kab. Kediri,400119260005584),2026-02-11,N2512024,20.0,"DUS, 3 STRIP @ 10 TABLET",0000-00-00,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RS BHAYANGKARA MOESTADJAB NGANJUK,JL. ABDUL RAHMAN SALEH NO. 56 NGANJUK,NGANJUK,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,NULAB PHARMACEUTICAL INDONESIA,PENTA VALENT CABANG KEDIRI,Jawa Timur,Kab. Kediri,400119260008235),2026-03-03,N2512024,8.0,"DUS, 3 STRIP @ 10 TABLET",0000-00-00,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RS BHAYANGKARA MOESTADJAB NGANJUK,JL. ABDUL RAHMAN SALEH NO. 56 NGANJUK,NGANJUK,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,NULAB PHARMACEUTICAL INDONESIA,PENTA VALENT CABANG KEDIRI,Jawa Timur,Kab. Kediri,400119260008235),2026-03-03,N2511002,2.0,"DUS, 3 STRIP @ 10 TABLET",0000-00-00,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RS BHAYANGKARA MOESTADJAB NGANJUK,JL. ABDUL RAHMAN SALEH NO. 56 NGANJUK,NGANJUK,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,NULAB PHARMACEUTICAL INDONESIA,PENTA VALENT CABANG KEDIRI,Jawa Timur,Kab. Kediri,400119260012072),2026-04-04,N2601049,15.0,"DUS, 3 STRIP @ 10 TABLET",0000-00-00,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RS SUKMA WIJAYA,JL. AGUS SALIM NO. 19,PT GUARDIAN PHARMATAMA,0R1600,MISOPROSTOL DISPERSION HPMC,PROSTER,GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG SURABAYA,Jawa Timur,Kota Surabaya,"1,30526E+11",2026-01-30,N2508032,1.0,"DUS, 3 STRIP @ 10 TABLET",2027-08-31,,Rumah Sakit,misoprostol,1,Normal
